"filename", "language", "Lua", "GLSL", "XML", "Shell Script", "Markdown", "comment", "blank", "total"
"c:\Users\Delta\Projects\LD48\src\breezefield\collider.lua", "Lua", 54, 0, 0, 0, 0, 2, 13, 69
"c:\Users\Delta\Projects\LD48\src\breezefield\init.lua", "Lua", 13, 0, 0, 0, 0, 2, 10, 25
"c:\Users\Delta\Projects\LD48\src\breezefield\test.sh", "Shell Script", 0, 0, 0, 2, 0, 1, 1, 4
"c:\Users\Delta\Projects\LD48\src\breezefield\test\main.lua", "Lua", 82, 0, 0, 0, 0, 6, 22, 110
"c:\Users\Delta\Projects\LD48\src\breezefield\test\test_queryareas\main.lua", "Lua", 31, 0, 0, 0, 0, 10, 8, 49
"c:\Users\Delta\Projects\LD48\src\breezefield\utils.lua", "Lua", 25, 0, 0, 0, 0, 4, 4, 33
"c:\Users\Delta\Projects\LD48\src\breezefield\world.lua", "Lua", 181, 0, 0, 0, 0, 29, 29, 239
"c:\Users\Delta\Projects\LD48\src\constructible.lua", "Lua", 31, 0, 0, 0, 0, 0, 10, 41
"c:\Users\Delta\Projects\LD48\src\entity.lua", "Lua", 44, 0, 0, 0, 0, 1, 19, 64
"c:\Users\Delta\Projects\LD48\src\extraMath.lua", "Lua", 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Delta\Projects\LD48\src\generateWorld.lua", "Lua", 18, 0, 0, 0, 0, 0, 7, 25
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\README.md", "Markdown", 0, 0, 0, 0, 91, 0, 41, 132
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\init.lua", "Lua", 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\themes\glassy.lua", "Lua", 23, 0, 0, 0, 0, 4, 3, 30
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\themes\hacky.lua", "Lua", 23, 0, 0, 0, 0, 4, 3, 30
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\themes\standard.lua", "Lua", 42, 0, 0, 0, 0, 7, 2, 51
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\themes\studious.lua", "Lua", 42, 0, 0, 0, 0, 7, 2, 51
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vdignore.lua", "Lua", 46, 0, 0, 0, 0, 0, 1, 47
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vudu.lua", "Lua", 377, 0, 0, 0, 0, 20, 62, 459
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vudubrowser.lua", "Lua", 162, 0, 0, 0, 0, 3, 63, 228
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vuduconsole.lua", "Lua", 204, 0, 0, 0, 0, 1, 24, 229
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vuducontrol.lua", "Lua", 142, 0, 0, 0, 0, 5, 33, 180
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vudugraphics.lua", "Lua", 134, 0, 0, 0, 0, 11, 36, 181
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vuduhotkey.lua", "Lua", 32, 0, 0, 0, 0, 0, 5, 37
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vuduphysics.lua", "Lua", 283, 0, 0, 0, 0, 5, 63, 351
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vuduui.lua", "Lua", 388, 0, 0, 0, 0, 16, 80, 484
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vuduutil.lua", "Lua", 113, 0, 0, 0, 0, 1, 20, 134
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\vuduwindow.lua", "Lua", 50, 0, 0, 0, 0, 0, 10, 60
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\widgets\checkboxwidget.lua", "Lua", 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\widgets\referencetextwidget.lua", "Lua", 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\widgets\sliderwidget.lua", "Lua", 69, 0, 0, 0, 0, 0, 17, 86
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\widgets\textfieldwidget.lua", "Lua", 63, 0, 0, 0, 0, 0, 11, 74
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\widgets\textwidget.lua", "Lua", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\widgets\vudufieldwidget.lua", "Lua", 32, 0, 0, 0, 0, 0, 5, 37
"c:\Users\Delta\Projects\LD48\src\libs\vudu\vudu\vudu\widgets\vudugraphwidget.lua", "Lua", 67, 0, 0, 0, 0, 0, 10, 77
"c:\Users\Delta\Projects\LD48\src\main.lua", "Lua", 110, 0, 0, 0, 0, 15, 33, 158
"c:\Users\Delta\Projects\LD48\src\misc\constructibles.tmx", "XML", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\Delta\Projects\LD48\src\physicalEntity.lua", "Lua", 18, 0, 0, 0, 0, 0, 8, 26
"c:\Users\Delta\Projects\LD48\src\player.lua", "Lua", 124, 0, 0, 0, 0, 1, 30, 155
"c:\Users\Delta\Projects\LD48\src\playerTool.lua", "Lua", 109, 0, 0, 0, 0, 9, 28, 146
"c:\Users\Delta\Projects\LD48\src\resources.lua", "Lua", 13, 0, 0, 0, 0, 0, 8, 21
"c:\Users\Delta\Projects\LD48\src\shaders\lightOverlay.frag", "GLSL", 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\Delta\Projects\LD48\src\shaders\shadow.frag", "GLSL", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Delta\Projects\LD48\src\shaders\terrain.frag", "GLSL", 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\Delta\Projects\LD48\src\sprite.lua", "Lua", 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Delta\Projects\LD48\src\terrain.lua", "Lua", 206, 0, 0, 0, 0, 13, 56, 275
"c:\Users\Delta\Projects\LD48\src\ui.lua", "Lua", 46, 0, 0, 0, 0, 0, 10, 56
"c:\Users\Delta\Projects\LD48\src\vector.lua", "Lua", 142, 0, 0, 0, 0, 17, 47, 206
"c:\Users\Delta\Projects\LD48\src\wiringEntity.lua", "Lua", 71, 0, 0, 0, 0, 0, 16, 87
"Total", "-", 3722, 50, 6, 2, 91, 195, 885, 4951
